3109;Prachatice;27;7;58;74;51;53%;75;119;31;52;49;38;58;58;40;52;49;64;0;14;152;182;49;47;39;54;54;36;45;43;54;421;0;243;178;421;65%;421;0;;Praha 19;1119;;6114;136;;6114;35
3110;Soběslav;7;2;10;55;26;27%;30;30;0;21;34;31;39;17;18;27;42;25;0;5;54;72;16;25;23;29;13;13;20;31;19;190;0;106;84;190;42%;190;0;;Rokycany;3211;;6218;138;;6218;33
3111;Strakonice;5;2;72;74;45;11%;70;88;45;57;49;36;44;21;57;38;61;67;3;41;172;131;59;53;43;49;32;53;39;56;61;447;0;237;210;447;67%;447;0;;Rožnov pod Radhoštěm;7206;;6221;117;;6221;26
3112;Tábor;48;12;114;138;114;42%;123;207;31;177;152;117;135;124;132;121;141;147;20;20;503;409;157;139;112;126;118;119;111;126;130;1 137;0;651;486;1 137;51%;1137;0;;Slavkov u Brna;6215;;7108;265;;7108;80
3113;Trhové Sviny;4;2;39;23;24;17%;27;31;6;37;38;36;33;35;46;29;33;34;3;3;97;76;32;33;31;29;30;38;25;28;29;274;0;154;119;274;41%;274;0;;Sušice;3214;;7201;58;;7201;17
3114;Třeboň;10;4;34;12;37;27%;8;81;88;60;45;91;69;68;73;76;72;44;14;13;15;145;53;41;76;59;59;49;51;48;27;464;0;288;177;464;56%;464;0;;Šlapanice;6216;;7204;97;;7204;28
3115;Týn nad Vltavou;10;4;16;5;12;83%;14;32;23;17;27;7;9;20;9;17;26;20;0;0;31;59;16;23;8;10;18;6;12;19;15;128;0;75;52;128;54%;128;0;;Tábor;3112;;7207;276;;7207;82
3116;Vimperk;11;5;49;34;35;31%;38;51;79;50;41;65;35;39;33;19;45;53;4;4;78;116;49;42;60;37;40;24;14;33;39;339;0;229;110;339;44%;339;0;;Turnov;5109;;8105;65;;8105;16
3117;Vodňany;8;3;4;40;45;18%;-4;59;0;7;15;4;2;10;5;11;9;11;6;6;29;122;1;7;-1;-3;3;-1;4;2;4;21;-5;6;9;15;48%;15;0;;Uničov;7112;;8109;70;;8109;20
3201;Blovice;1;1;5;10;18;6%;-6;26;6;6;7;12;12;7;17;13;12;12;0;0;2;46;3;4;8;8;4;11;8;7;7;60;0;27;32;60;57%;60;0;;Blovice;3201;;1107;365;;1107;107
3202;Domažlice;16;8;125;76;63;25%;104;58;32;167;133;105;99;115;69;60;157;156;0;0;132;207;124;99;78;73;85;46;39;112;111;770;0;460;309;770;28%;770;0;;Domažlice;3202;;2120;434;;2120;116
